,Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No,xm,ym,Clus_Db
0,CHEMAINUS,48.935,-123.742,BC,8.2,0.0,,13.5,0.0,1.0,0.0,0.0,0.0,,178.8,0.0,,0.0,12.0,,,,273.3,0.0,1011500,1807806.266120346,1396332.2878689235,0
1,COWICHAN LAKE FORESTRY,48.824,-124.133,BC,7.0,0.0,3.0,15.0,0.0,-3.0,0.0,0.0,0.0,0.0,258.6,0.0,104.0,0.0,12.0,,,,307.0,0.0,1012040,1764329.0702750369,1377564.3486884069,0
2,LAKE COWICHAN,48.829,-124.052,BC,6.8,13.0,2.8,16.0,9.0,-2.5,9.0,0.0,9.0,,264.6,9.0,,,11.0,,,,168.1,0.0,1012055,1773335.8550920947,1378408.8563886946,0
3,DUNCAN KELVIN CREEK,48.735,-123.728,BC,7.7,2.0,3.4,14.5,2.0,-1.0,2.0,0.0,2.0,,168.4,2.0,,,11.0,,,,267.7,0.0,1012573,1809362.9943603328,1362546.1866929336,0
4,ESQUIMALT HARBOUR,48.432,-123.439,BC,8.8,0.0,,13.1,0.0,1.9,0.0,,,,81.0,8.0,,,12.0,,,,258.6,0.0,1012710,1841498.313028606,1311615.3198312465,0
5,GALIANO NORTH,48.985,-123.573,BC,8.9,7.0,,13.5,7.0,2.0,7.0,0.0,7.0,,110.0,7.0,,0.0,10.0,,,,191.7,0.0,10130MN,1826598.1998744586,1404799.9469790095,0
6,MALAHAT,48.575,-123.53,BC,7.2,1.0,,12.7,1.0,2.2,0.0,,,,108.8,10.0,,,12.0,,,,290.8,0.0,1014820,1831379.579468699,1335613.9593745312,0
7,NORTH COWICHAN,48.824,-123.719,BC,7.7,0.0,,14.7,0.0,-2.6,0.0,,,,132.8,0.0,,0.0,12.0,,,,288.8,0.0,1015630,1810363.748228895,1377564.3486884069,0
8,NORTH PENDER ISLAND,48.764,-123.287,BC,8.6,1.0,,14.0,1.0,2.0,1.0,0.0,1.0,,91.1,1.0,,0.0,13.0,,,,253.6,0.0,1015638,1858399.9339198759,1367436.8211927824,0
9,RACE ROCKS,48.298,-123.531,BC,9.6,0.0,,15.6,0.0,5.2,0.0,,,,,,,,,,,,234.7,0.0,1016640,1831268.3845944137,1289188.304761338,0
10,SAANICHTON CDA,48.622,-123.419,BC,8.1,0.0,2.8,14.0,0.0,-1.0,0.0,0.0,0.0,0.0,116.5,0.0,130.0,0.0,13.0,,,,277.8,0.0,1016940,1843722.2105142989,1343516.4403413795,0
11,SALTSPRING ST MARY'S L,48.888,-123.546,BC,8.3,1.0,3.3,14.5,1.0,1.0,1.0,0.0,1.0,,104.3,1.0,,0.0,11.0,,,,262.9,0.0,1016995,1829600.4614801435,1388380.4179418012,0
12,SATURNA CAPMON,48.775,-123.128,BC,7.8,0.0,2.8,12.9,0.0,2.0,0.0,0.0,0.0,0.0,77.2,0.0,120.0,0.0,14.0,,,,285.6,0.0,1017098,1876079.9189311408,1369292.6281633666,0
13,SATURNA CAPMON CS,48.775,-123.128,BC,7.6,0.0,,12.7,0.0,2.1,0.0,,,,72.5,1.0,,,13.0,,,,291.5,0.0,1017099,1876079.9189311408,1369292.6281633666,0
14,SATURNA ISLAND CS,48.784,-123.045,BC,8.7,1.0,,13.7,1.0,4.1,0.0,,,,65.0,2.0,,,12.0,,,,250.4,0.0,1017101,1885309.0934967692,1370811.318157304,0
